"statefp","countyfp","tract","pop","diabetes_num","diabetes_frac"
11,1,2400,3467.5372365794,341.205346028722,0.0983999082776423
11,1,2501,2207.51817856044,270.990507634224,0.12275799595496
11,1,2502,4758.51599983319,486.464584931043,0.102230314019769
11,1,2600,2061.11592053025,233.323465868481,0.113202495572619
11,1,2701,4617.37471598657,368.879910531018,0.0798895331699761
11,1,2702,5111.19465040412,360.596681366673,0.0705503714944925
11,1,2801,3385.41753380456,303.917061716573,0.089772401389742
11,1,2802,4040.54365854227,323.997231660315,0.0801865439506734
11,1,2900,4058.10129373499,281.902082309618,0.0694664972372243
11,1,3000,2960.76377538279,259.414248023457,0.0876173405593352
11,1,3100,2795.99941805711,233.22246355647,0.0834129156287634
11,1,3200,3841.27464106252,376.37544828293,0.0979819157577398
11,1,3301,3096.07667236092,212.224783152074,0.0685463590248368
11,1,3302,1896.14578611327,147.234455478459,0.077649332955701
11,1,3400,2325.09714130897,190.563697777436,0.0819594563993802
11,1,3500,2367.83186088173,215.881469502702,0.0911726347927053
11,1,3600,4098.1729986774,315.022600463935,0.0768690342173457
11,1,3700,4106.06344680951,315.000851075952,0.0767160213563464
11,1,3800,4652.68110756988,344.148085892665,0.073967692591856
11,1,3900,4172.11630672595,290.564177600218,0.0696443138777779
11,1,4001,3613.39551556563,232.489139355635,0.064340905487409
11,1,4002,2675.82197853681,166.695827997371,0.0622970546375897
11,1,4100,2350.26932495782,197.899392925926,0.0842028574446368
11,1,4201,3496.09157232314,165.395007900003,0.0473085456940987
11,1,4202,2520.93831368582,147.285798113646,0.0584249909305803
11,1,4300,3121.85693129012,262.179479115163,0.0839819007999244
11,1,4400,5144.20711463155,363.282491595614,0.0706197249644824
11,1,4600,2415.75136029077,252.951597277218,0.104709284835825
11,1,4701,3057.35344045597,386.965723485959,0.126568854737399
11,1,4702,1800.28030591946,165.392013929148,0.091870145657499
11,1,4801,1873.94671406414,190.079487326123,0.101432706650386
11,1,4802,2761.58368406706,276.521469043005,0.100131482756939
11,1,4901,1909.04351583529,178.267158084372,0.0933803533579339
11,1,4902,2514.77930021102,173.564231127028,0.0690176792502086
11,1,5001,1761.67260343104,119.14679874672,0.0676327704220802
11,1,5002,5454.57767934511,471.060212299041,0.086360528713856
11,1,5201,5745.52103515817,344.13990971353,0.059897075932306
11,1,5301,4988.03668125476,271.669255493677,0.054464165533229
11,1,5500,6064.93311263515,417.156542777017,0.0687817219134618
11,1,5600,4782.58650519519,374.89579032717,0.0783876653187415
11,1,5800,2427.23086036465,197.725555311921,0.0814613716975468
11,1,5900,2314.10826904316,125.323758273099,0.0541563936094129
11,1,6400,1523.78238946466,230.362198026963,0.151177884466754
11,1,6500,2071.79401364008,139.30998192974,0.0672412320011374
11,1,6600,1698.94993513348,121.074060595398,0.0712640543971568
11,1,6700,3397.10718559533,254.469957962678,0.0749078389524183
11,1,6801,1740.83722342833,150.3662876811,0.0863758458616685
11,1,6802,1770.53496401484,162.941216862322,0.0920293697520883
